pokedex_number,pokemon_name,type_1,type_2,ability_1,ability_2,ability_3,number_pokemon_with_typing,primary_color,shape,height,weight,bmi,hit_points,attack,defense,special_attack,special_defense,speed,total_stats,mean,standard_deviation,capture_rate,generation,base_happiness,base_experience,exp_type,exp_to_level_100,can_evolve,evolves_from,final_evolution,mega_evolution,is_default,baby_pokemon,alolan_form,galarian_form,forms_switchable,legendary,mythical,genderless,female_rate,genus,egg_group_1,egg_group_2,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
6,Mega Charizard Y,Fire,Flying,Drought,,,7,Red,Upright,1.7,100.5,34.8,78,104,78,159,115,100,634,105.67,27.38,45,6,70,285,Medium Slow,1059860,false,Charmeleon,true,true,false,false,false,false,true,false,false,false,0.125,Flame ,Monster,Dragon,20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
7,Squirtle,Water,,Torrent,Rain Dish,,72,Blue,Upright,0.5,9,36.0,44,48,65,50,64,43,314,52.33,8.92,45,1,70,63,Medium Slow,1059860,true,,false,false,true,false,false,false,false,false,false,false,0.125,Tiny Turtle ,Monster,Water 1,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
8,Wartortle,Water,,Torrent,Rain Dish,,72,Blue,Upright,1,22.5,22.5,59,63,80,65,80,58,405,67.50,9.14,45,1,70,142,Medium Slow,1059860,true,Squirtle,false,false,true,false,false,false,false,false,false,false,0.125,Turtle ,Monster,Water 1,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
9,Blastoise,Water,,Torrent,Rain Dish,,72,Blue,Upright,1.6,85.5,33.4,79,83,100,85,105,78,530,88.33,10.39,45,1,70,239,Medium Slow,1059860,false,Wartortle,true,false,true,false,false,false,true,false,false,false,0.125,Shellfish ,Monster,Water 1,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
9,Blastoise Gmax,Water,,Torrent,Rain Dish,,72,Blue,Upright,25,10000,16.0,79,83,100,85,105,78,530,88.33,10.39,45,8,70,239,Medium Slow,1059860,false,Wartortle,false,false,false,false,false,false,true,false,false,false,0.125,Shellfish ,Monster,Water 1,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
9,Mega Blastoise,Water,,Mega Launcher,,,72,Blue,Upright,1.6,101.1,39.5,79,103,120,135,115,78,630,105.00,20.95,45,6,70,284,Medium Slow,1059860,false,Wartortle,true,true,false,false,false,false,true,false,false,false,0.125,Shellfish ,Monster,Water 1,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
10,Caterpie,Bug,,Shield Dust,Run Away,,19,Green,Armor,0.3,2.9,32.2,45,30,35,20,20,45,195,32.50,10.31,255,1,70,39,Medium Fast,1000000,true,,false,false,true,false,false,false,false,false,false,false,0.5,Worm ,Bug,,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
11,Metapod,Bug,,Shed Skin,,,19,Green,Squiggle,0.7,9.9,20.2,50,20,55,25,25,30,205,34.17,13.36,120,1,70,72,Medium Fast,1000000,true,Caterpie,false,false,true,false,false,false,false,false,false,false,0.5,Cocoon ,Bug,,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
12,Butterfree,Bug,Flying,Compound Eyes,Tinted Lens,,14,White,Bug-Wings,1.1,32,26.4,60,45,50,90,80,70,395,65.83,15.92,45,1,70,178,Medium Fast,1000000,false,Metapod,true,false,true,false,false,false,false,false,false,false,0.5,Butterfly ,Bug,,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
12,Butterfree Gmax,Bug,Flying,Compound Eyes,Tinted Lens,,14,White,Bug-Wings,17,10000,34.6,60,45,50,90,80,70,395,65.83,15.92,45,8,70,178,Medium Fast,1000000,false,Metapod,false,false,false,false,false,false,false,false,false,false,0.5,Butterfly ,Bug,,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
13,Weedle,Bug,Poison,Shield Dust,Run Away,,13,Brown,Armor,0.3,3.2,35.6,40,35,30,20,20,50,195,32.50,10.70,255,1,70,39,Medium Fast,1000000,true,,false,false,true,false,false,false,false,false,false,false,0.5,Hairy Bug ,Bug,,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
14,Kakuna,Bug,Poison,Shed Skin,,,13,Yellow,Squiggle,0.6,10,27.8,45,25,50,25,25,35,205,34.17,10.17,120,1,70,72,Medium Fast,1000000,true,Weedle,false,false,true,false,false,false,false,false,false,false,0.5,Cocoon ,Bug,,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
15,Beedrill,Bug,Poison,Swarm,Sniper,,13,Yellow,Bug-Wings,1,29.5,29.5,65,90,40,45,80,75,395,65.83,18.12,45,1,70,178,Medium Fast,1000000,false,Kakuna,true,false,true,false,false,false,true,false,false,false,0.5,Poison Bee ,Bug,,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
15,Mega Beedrill,Bug,Poison,Adaptability,,,13,Yellow,Bug-Wings,1.4,40.5,20.7,65,150,40,15,80,145,495,82.50,50.23,45,6,70,223,Medium Fast,1000000,false,Kakuna,true,true,false,false,false,false,true,false,false,false,0.5,Poison Bee ,Bug,,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
16,Pidgey,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,27,Brown,Wings,0.3,1.8,20.0,40,45,40,35,35,56,251,41.83,7.20,255,1,70,50,Medium Slow,1059860,true,,false,false,true,false,false,false,false,false,false,false,0.5,Tiny Bird ,Flying,,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
17,Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,27,Brown,Wings,1.1,30,24.8,63,60,55,50,50,71,349,58.17,7.47,120,1,70,122,Medium Slow,1059860,true,Pidgey,false,false,true,false,false,false,false,false,false,false,0.5,Bird ,Flying,,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
18,Mega Pidgeot,Normal,Flying,No Guard,,,27,Brown,Wings,2.2,50.5,10.4,83,80,80,135,80,121,579,96.50,22.66,45,6,70,261,Medium Slow,1059860,false,Pidgeotto,true,true,false,false,false,false,true,false,false,false,0.5,Bird ,Flying,,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
18,Pidgeot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,27,Brown,Wings,1.5,39.5,17.6,83,80,75,70,70,101,479,79.83,10.61,45,1,70,216,Medium Slow,1059860,false,Pidgeotto,true,false,true,false,false,false,true,false,false,false,0.5,Bird ,Flying,,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
19,Alolan Rattata,Dark,Normal,Gluttony,Hustle,Thick Fat,5,Purple,Quadruped,0.3,3.8,42.2,30,56,35,25,35,72,253,42.17,16.47,255,7,70,51,Medium Fast,1000000,true,,false,false,false,false,true,false,false,false,false,false,0.5,Mouse ,Field,,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
19,Rattata,Normal,,Run Away,Guts,Hustle,71,Purple,Quadruped,0.3,3.5,38.9,30,56,35,25,35,72,253,42.17,16.47,255,1,70,51,Medium Fast,1000000,true,,false,false,true,false,false,false,false,false,false,false,0.5,Mouse ,Field,,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
20,Alolan Raticate,Dark,Normal,Gluttony,Hustle,Thick Fat,5,Brown,Quadruped,0.7,25.5,52.0,75,71,70,40,80,77,413,68.83,13.33,127,7,70,145,Medium Fast,1000000,false,Rattata,true,false,false,false,true,false,false,false,false,false,0.5,Mouse ,Field,,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
20,Alolan Raticate Totem,Dark,Normal,Gluttony,Hustle,Thick Fat,5,Brown,Quadruped,1.4,105,53.6,75,71,70,40,80,77,413,68.83,13.33,127,7,70,145,Medium Fast,1000000,false,Rattata,true,false,false,false,true,false,false,false,false,false,0.5,Mouse ,Field,,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
20,Raticate,Normal,,Run Away,Guts,Hustle,71,Brown,Quadruped,0.7,18.5,37.8,55,81,60,50,70,97,413,68.83,16.16,127,1,70,145,Medium Fast,1000000,false,Rattata,true,false,true,false,false,false,false,false,false,false,0.5,Mouse ,Field,,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
21,Spearow,Normal,Flying,Keen Eye,Sniper,,27,Brown,Wings,0.3,2,22.2,40,60,30,31,31,70,262,43.67,15.71,255,1,70,52,Medium Fast,1000000,true,,false,false,true,false,false,false,false,false,false,false,0.5,Tiny Bird ,Flying,,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
22,Fearow,Normal,Flying,Keen Eye,Sniper,,27,Brown,Wings,1.2,38,26.4,65,90,65,61,61,100,442,73.67,15.45,90,1,70,155,Medium Fast,1000000,false,Spearow,true,false,true,false,false,false,false,false,false,false,0.5,Beak ,Flying,,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
23,Ekans,Poison,,Intimidate,Shed Skin,Unnerve,16,Purple,Squiggle,2,6.9,1.7,35,60,44,40,54,55,288,48.00,8.93,255,1,70,58,Medium Fast,1000000,true,,false,false,true,false,false,false,false,false,false,false,0.5,Snake ,Field,Dragon,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
24,Arbok,Poison,,Intimidate,Shed Skin,Unnerve,16,Purple,Squiggle,3.5,65,5.3,60,95,69,65,79,80,448,74.67,11.56,90,1,70,157,Medium Fast,1000000,false,Ekans,true,false,true,false,false,false,false,false,false,false,0.5,Cobra ,Field,Dragon,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
25,Pikachu,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,1,70,112,Medium Fast,1000000,true,Pichu,false,false,true,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Alola Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Belle,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Cosplay,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Gmax,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,21,10000,22.7,35,55,40,50,50,90,320,53.33,17.72,190,8,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Hoenn Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Kalos Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Libre,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Original Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Partner Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Phd,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Pop Star,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Rock Star,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Sinnoh Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
25,Pikachu Unova Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.4,6,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,true,Pichu,false,false,false,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
26,Alolan Raichu,Electric,Psychic,Surge Surfer,,,1,Yellow,Upright,0.7,21,42.9,60,85,50,95,85,110,485,80.83,20.29,75,7,70,218,Medium Fast,1000000,false,Pikachu,true,false,false,false,true,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,0.5,1,2,0.5,0.5,2,1,2,1,2,0.5,1
26,Raichu,Electric,,Static,Lightning Rod,,34,Yellow,Upright,0.8,30,46.9,60,90,55,90,80,110,485,80.83,18.80,75,1,70,218,Medium Fast,1000000,false,Pikachu,true,false,true,false,false,false,false,false,false,false,0.5,Mouse ,Field,Fairy,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
27,Alolan Sandshrew,Ice,Steel,Snow Cloak,Slush Rush,,2,Yellow,Upright,0.7,40,81.6,50,75,90,10,35,40,300,50.00,26.30,255,7,70,60,Medium Fast,1000000,true,,false,false,false,false,true,false,false,false,false,false,0.5,Mouse ,Field,,20,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
27,Sandshrew,Ground,,Sand Veil,Sand Rush,,17,Yellow,Upright,0.6,12,33.3,50,75,85,20,30,40,300,50.00,23.27,255,1,70,60,Medium Fast,1000000,true,,false,false,true,false,false,false,false,false,false,false,0.5,Mouse ,Field,,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
28,Alolan Sandslash,Ice,Steel,Snow Cloak,Slush Rush,,2,Yellow,Upright,1.2,55,38.2,75,100,120,25,65,65,450,75.00,29.86,90,7,70,158,Medium Fast,1000000,false,Sandshrew,true,false,false,false,true,false,false,false,false,false,0.5,Mouse ,Field,,20,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
28,Sandslash,Ground,,Sand Veil,Sand Rush,,17,Yellow,Upright,1,29.5,29.5,75,100,110,45,55,65,450,75.00,23.27,90,1,70,158,Medium Fast,1000000,false,Sandshrew,true,false,true,false,false,false,false,false,false,false,0.5,Mouse ,Field,,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
29,Nidoran F,Poison,,Poison Point,Rivalry,Hustle,16,Blue,Quadruped,0.4,7,43.8,55,47,52,40,40,41,275,45.83,5.98,235,1,70,55,Medium Slow,1059860,false,,false,false,true,false,false,false,false,false,false,false,1,Poison Pin ,Monster,Field,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
30,Nidorina,Poison,,Poison Point,Rivalry,Hustle,16,Blue,Quadruped,0.8,20,31.3,70,62,67,55,55,56,365,60.83,5.98,120,1,70,128,Medium Slow,1059860,true,Nidoran F,false,false,true,false,false,false,false,false,false,false,1,Poison Pin ,Undiscovered,,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
31,Nidoqueen,Poison,Ground,Poison Point,Rivalry,Sheer Force,2,Blue,Upright,1.3,60,35.5,90,92,87,75,85,76,505,84.17,6.52,45,1,70,227,Medium Slow,1059860,false,Nidorina,true,false,true,false,false,false,false,false,false,false,1,Drill ,Undiscovered,,20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
32,Nidoran M,Poison,,Poison Point,Rivalry,Hustle,16,Purple,Quadruped,0.5,9,36.0,46,57,40,40,40,50,273,45.50,6.37,235,1,70,55,Medium Slow,1059860,false,,false,false,true,false,false,false,false,false,false,false,0,Poison Pin ,Monster,Field,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
33,Nidorino,Poison,,Poison Point,Rivalry,Hustle,16,Purple,Quadruped,0.9,19.5,24.1,61,72,57,55,55,65,365,60.83,6.12,120,1,70,128,Medium Slow,1059860,true,Nidoran M,false,false,true,false,false,false,false,false,false,false,0,Poison Pin ,Monster,Field,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
34,Nidoking,Poison,Ground,Poison Point,Rivalry,Sheer Force,2,Purple,Upright,1.4,62,31.6,81,102,77,85,75,85,505,84.17,8.80,45,1,70,227,Medium Slow,1059860,false,Nidorino,true,false,true,false,false,false,false,false,false,false,0,Drill ,Monster,Field,20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
35,Clefairy,Fairy,,Cute Charm,Magic Guard,Friend Guard,19,Pink,Upright,0.6,7.5,20.8,70,45,48,60,65,35,323,53.83,12.18,150,1,140,113,Fast,800000,true,Cleffa,false,false,true,false,false,false,false,false,false,false,0.75,Fairy ,Fairy,,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
36,Clefable,Fairy,,Cute Charm,Magic Guard,Unaware,19,Pink,Upright,1.3,40,23.7,95,70,73,95,90,60,483,80.50,13.52,25,1,140,217,Fast,800000,false,Clefairy,true,false,true,false,false,false,false,false,false,false,0.75,Fairy ,Fairy,,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
37,Alolan Vulpix,Ice,,Snow Cloak,Snow Warning,,20,Brown,Quadruped,0.6,9.9,27.5,38,41,40,50,65,65,299,49.83,11.36,190,7,70,60,Medium Fast,1000000,true,,false,false,false,false,true,false,false,false,false,false,0.75,Fox ,Field,,20,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
37,Vulpix,Fire,,Flash Fire,Drought,,34,Brown,Quadruped,0.6,9.9,27.5,38,41,40,50,65,65,299,49.83,11.36,190,1,70,60,Medium Fast,1000000,true,,false,false,true,false,false,false,false,false,false,false,0.75,Fox ,Field,,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
38,Alolan Ninetales,Ice,Fairy,Snow Cloak,Snow Warning,,1,Yellow,Quadruped,1.1,19.9,16.4,73,67,75,81,100,109,505,84.17,15.17,75,7,70,177,Medium Fast,1000000,false,Vulpix,true,false,false,false,true,false,false,false,false,false,0.75,Fox ,Field,,20,1,2,1,1,1,0.5,1,2,1,1,1,0.5,2,1,0,0.5,4,1
38,Ninetales,Fire,,Flash Fire,Drought,,34,Yellow,Quadruped,1.1,19.9,16.4,73,76,75,81,100,100,505,84.17,11.45,75,1,70,177,Medium Fast,1000000,false,Vulpix,true,false,true,false,false,false,false,false,false,false,0.75,Fox ,Field,,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
39,Jigglypuff,Normal,Fairy,Cute Charm,Competitive,Friend Guard,5,Pink,Humanoid,0.5,5.5,22.0,115,45,20,45,25,20,270,45.00,33.04,170,1,70,95,Fast,800000,true,Igglybuff,false,false,true,false,false,false,false,false,false,false,0.75,Balloon ,Fairy,,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
40,Wigglytuff,Normal,Fairy,Cute Charm,Competitive,Frisk,5,Pink,Humanoid,1,12,12.0,140,70,45,85,50,45,435,72.50,33.51,50,1,70,196,Fast,800000,false,Jigglypuff,true,false,true,false,false,false,false,false,false,false,0.75,Balloon ,Fairy,,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
41,Zubat,Poison,Flying,Inner Focus,Infiltrator,,3,Purple,Wings,0.8,7.5,11.7,40,45,35,30,40,55,245,40.83,7.86,255,1,70,49,Medium Fast,1000000,true,,false,false,true,false,false,false,false,false,false,false,0.5,Bat ,Flying,,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
