pokedex_number,pokemon_name,type_1,type_2,ability_1,ability_2,ability_3,number_pokemon_with_typing,primary_color,shape,height,weight,bmi,hit_points,attack,defense,special_attack,special_defense,speed,total_stats,mean,standard_deviation,capture_rate,generation,base_happiness,base_experience,exp_type,exp_to_level_100,can_evolve,evolves_from,final_evolution,mega_evolution,is_default,baby_pokemon,alolan_form,galarian_form,forms_switchable,legendary,mythical,genderless,female_rate,genus,egg_group_1,egg_group_2,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
6,Mega Charizard Y,Fire,Flying,Drought,,,7,Red,Upright,1.70,100.50,34.80,78,104,78,159,115,100,634,105.67,27.38,45,6,70,285,Medium Slow,1059860,FALSE,Charmeleon,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.125,Flame ,Monster,Dragon,20,1.00,0.50,2.00,2.00,0.25,1.00,0.50,1.00,0.00,1.00,1.00,0.25,4.00,1.00,1.00,1.00,0.50,0.50
7,Squirtle,Water,,Torrent,Rain Dish,,72,Blue,Upright,0.50,9.00,36.00,44,48,65,50,64,43,314,52.33,8.92,45,1,70,63,Medium Slow,1059860,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.125,Tiny Turtle ,Monster,Water 1,20,1.00,0.50,0.50,2.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
8,Wartortle,Water,,Torrent,Rain Dish,,72,Blue,Upright,1.00,22.50,22.50,59,63,80,65,80,58,405,67.50,9.14,45,1,70,142,Medium Slow,1059860,TRUE,Squirtle,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.125,Turtle ,Monster,Water 1,20,1.00,0.50,0.50,2.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
9,Blastoise,Water,,Torrent,Rain Dish,,72,Blue,Upright,1.60,85.50,33.40,79,83,100,85,105,78,530,88.33,10.39,45,1,70,239,Medium Slow,1059860,FALSE,Wartortle,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.125,Shellfish ,Monster,Water 1,20,1.00,0.50,0.50,2.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
9,Blastoise Gmax,Water,,Torrent,Rain Dish,,72,Blue,Upright,25.00,10000.00,16.00,79,83,100,85,105,78,530,88.33,10.39,45,8,70,239,Medium Slow,1059860,FALSE,Wartortle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.125,Shellfish ,Monster,Water 1,20,1.00,0.50,0.50,2.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
9,Mega Blastoise,Water,,Mega Launcher,,,72,Blue,Upright,1.60,101.10,39.50,79,103,120,135,115,78,630,105.00,20.95,45,6,70,284,Medium Slow,1059860,FALSE,Wartortle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.125,Shellfish ,Monster,Water 1,20,1.00,0.50,0.50,2.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
10,Caterpie,Bug,,Shield Dust,Run Away,,19,Green,Armor,0.30,2.90,32.20,45,30,35,20,20,45,195,32.50,10.31,255,1,70,39,Medium Fast,1000000,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Worm ,Bug,,15,1.00,2.00,1.00,1.00,0.50,1.00,0.50,1.00,0.50,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00
11,Metapod,Bug,,Shed Skin,,,19,Green,Squiggle,0.70,9.90,20.20,50,20,55,25,25,30,205,34.17,13.36,120,1,70,72,Medium Fast,1000000,TRUE,Caterpie,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Cocoon ,Bug,,15,1.00,2.00,1.00,1.00,0.50,1.00,0.50,1.00,0.50,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00
12,Butterfree,Bug,Flying,Compound Eyes,Tinted Lens,,14,White,Bug-Wings,1.10,32.00,26.40,60,45,50,90,80,70,395,65.83,15.92,45,1,70,178,Medium Fast,1000000,FALSE,Metapod,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Butterfly ,Bug,,15,1.00,2.00,1.00,2.00,0.25,2.00,0.25,1.00,0.00,2.00,1.00,0.50,4.00,1.00,1.00,1.00,1.00,1.00
12,Butterfree Gmax,Bug,Flying,Compound Eyes,Tinted Lens,,14,White,Bug-Wings,17.00,10000.00,34.60,60,45,50,90,80,70,395,65.83,15.92,45,8,70,178,Medium Fast,1000000,FALSE,Metapod,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Butterfly ,Bug,,15,1.00,2.00,1.00,2.00,0.25,2.00,0.25,1.00,0.00,2.00,1.00,0.50,4.00,1.00,1.00,1.00,1.00,1.00
13,Weedle,Bug,Poison,Shield Dust,Run Away,,13,Brown,Armor,0.30,3.20,35.60,40,35,30,20,20,50,195,32.50,10.70,255,1,70,39,Medium Fast,1000000,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Hairy Bug ,Bug,,15,1.00,2.00,1.00,1.00,0.25,1.00,0.25,0.50,1.00,2.00,2.00,0.50,2.00,1.00,1.00,1.00,1.00,0.50
14,Kakuna,Bug,Poison,Shed Skin,,,13,Yellow,Squiggle,0.60,10.00,27.80,45,25,50,25,25,35,205,34.17,10.17,120,1,70,72,Medium Fast,1000000,TRUE,Weedle,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Cocoon ,Bug,,15,1.00,2.00,1.00,1.00,0.25,1.00,0.25,0.50,1.00,2.00,2.00,0.50,2.00,1.00,1.00,1.00,1.00,0.50
15,Beedrill,Bug,Poison,Swarm,Sniper,,13,Yellow,Bug-Wings,1.00,29.50,29.50,65,90,40,45,80,75,395,65.83,18.12,45,1,70,178,Medium Fast,1000000,FALSE,Kakuna,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.500,Poison Bee ,Bug,,15,1.00,2.00,1.00,1.00,0.25,1.00,0.25,0.50,1.00,2.00,2.00,0.50,2.00,1.00,1.00,1.00,1.00,0.50
15,Mega Beedrill,Bug,Poison,Adaptability,,,13,Yellow,Bug-Wings,1.40,40.50,20.70,65,150,40,15,80,145,495,82.50,50.23,45,6,70,223,Medium Fast,1000000,FALSE,Kakuna,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.500,Poison Bee ,Bug,,15,1.00,2.00,1.00,1.00,0.25,1.00,0.25,0.50,1.00,2.00,2.00,0.50,2.00,1.00,1.00,1.00,1.00,0.50
16,Pidgey,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,27,Brown,Wings,0.30,1.80,20.00,40,45,40,35,35,56,251,41.83,7.20,255,1,70,50,Medium Slow,1059860,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Tiny Bird ,Flying,,15,1.00,1.00,1.00,2.00,0.50,2.00,1.00,1.00,0.00,1.00,1.00,0.50,2.00,0.00,1.00,1.00,1.00,1.00
17,Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,27,Brown,Wings,1.10,30.00,24.80,63,60,55,50,50,71,349,58.17,7.47,120,1,70,122,Medium Slow,1059860,TRUE,Pidgey,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Bird ,Flying,,15,1.00,1.00,1.00,2.00,0.50,2.00,1.00,1.00,0.00,1.00,1.00,0.50,2.00,0.00,1.00,1.00,1.00,1.00
18,Mega Pidgeot,Normal,Flying,No Guard,,,27,Brown,Wings,2.20,50.50,10.40,83,80,80,135,80,121,579,96.50,22.66,45,6,70,261,Medium Slow,1059860,FALSE,Pidgeotto,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.500,Bird ,Flying,,15,1.00,1.00,1.00,2.00,0.50,2.00,1.00,1.00,0.00,1.00,1.00,0.50,2.00,0.00,1.00,1.00,1.00,1.00
18,Pidgeot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,27,Brown,Wings,1.50,39.50,17.60,83,80,75,70,70,101,479,79.83,10.61,45,1,70,216,Medium Slow,1059860,FALSE,Pidgeotto,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.500,Bird ,Flying,,15,1.00,1.00,1.00,2.00,0.50,2.00,1.00,1.00,0.00,1.00,1.00,0.50,2.00,0.00,1.00,1.00,1.00,1.00
19,Alolan Rattata,Dark,Normal,Gluttony,Hustle,Thick Fat,5,Purple,Quadruped,0.30,3.80,42.20,30,56,35,25,35,72,253,42.17,16.47,255,7,70,51,Medium Fast,1000000,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,,15,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,0.00,2.00,1.00,0.00,1.00,0.50,1.00,2.00
19,Rattata,Normal,,Run Away,Guts,Hustle,71,Purple,Quadruped,0.30,3.50,38.90,30,56,35,25,35,72,253,42.17,16.47,255,1,70,51,Medium Fast,1000000,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,,15,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00
20,Alolan Raticate,Dark,Normal,Gluttony,Hustle,Thick Fat,5,Brown,Quadruped,0.70,25.50,52.00,75,71,70,40,80,77,413,68.83,13.33,127,7,70,145,Medium Fast,1000000,FALSE,Rattata,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,,15,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,0.00,2.00,1.00,0.00,1.00,0.50,1.00,2.00
20,Alolan Raticate Totem,Dark,Normal,Gluttony,Hustle,Thick Fat,5,Brown,Quadruped,1.40,105.00,53.60,75,71,70,40,80,77,413,68.83,13.33,127,7,70,145,Medium Fast,1000000,FALSE,Rattata,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,,15,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,0.00,2.00,1.00,0.00,1.00,0.50,1.00,2.00
20,Raticate,Normal,,Run Away,Guts,Hustle,71,Brown,Quadruped,0.70,18.50,37.80,55,81,60,50,70,97,413,68.83,16.16,127,1,70,145,Medium Fast,1000000,FALSE,Rattata,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,,15,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00
21,Spearow,Normal,Flying,Keen Eye,Sniper,,27,Brown,Wings,0.30,2.00,22.20,40,60,30,31,31,70,262,43.67,15.71,255,1,70,52,Medium Fast,1000000,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Tiny Bird ,Flying,,15,1.00,1.00,1.00,2.00,0.50,2.00,1.00,1.00,0.00,1.00,1.00,0.50,2.00,0.00,1.00,1.00,1.00,1.00
22,Fearow,Normal,Flying,Keen Eye,Sniper,,27,Brown,Wings,1.20,38.00,26.40,65,90,65,61,61,100,442,73.67,15.45,90,1,70,155,Medium Fast,1000000,FALSE,Spearow,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Beak ,Flying,,15,1.00,1.00,1.00,2.00,0.50,2.00,1.00,1.00,0.00,1.00,1.00,0.50,2.00,0.00,1.00,1.00,1.00,1.00
23,Ekans,Poison,,Intimidate,Shed Skin,Unnerve,16,Purple,Squiggle,2.00,6.90,1.70,35,60,44,40,54,55,288,48.00,8.93,255,1,70,58,Medium Fast,1000000,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Snake ,Field,Dragon,20,1.00,1.00,1.00,1.00,0.50,1.00,0.50,0.50,2.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,0.50
24,Arbok,Poison,,Intimidate,Shed Skin,Unnerve,16,Purple,Squiggle,3.50,65.00,5.30,60,95,69,65,79,80,448,74.67,11.56,90,1,70,157,Medium Fast,1000000,FALSE,Ekans,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Cobra ,Field,Dragon,20,1.00,1.00,1.00,1.00,0.50,1.00,0.50,0.50,2.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,0.50
25,Pikachu,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,1,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Alola Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Belle,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Cosplay,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Gmax,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,21.00,10000.00,22.70,35,55,40,50,50,90,320,53.33,17.72,190,8,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Hoenn Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Kalos Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Libre,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Original Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Partner Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Phd,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Pop Star,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Rock Star,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Sinnoh Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
25,Pikachu Unova Cap,Electric,,Static,Lightning Rod,,34,Yellow,Quadruped,0.40,6.00,37.50,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,TRUE,Pichu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
26,Alolan Raichu,Electric,Psychic,Surge Surfer,,,1,Yellow,Upright,0.70,21.00,42.90,60,85,50,95,85,110,485,80.83,20.29,75,7,70,218,Medium Fast,1000000,FALSE,Pikachu,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,0.50,1.00,2.00,0.50,0.50,2.00,1.00,2.00,1.00,2.00,0.50,1.00
26,Raichu,Electric,,Static,Lightning Rod,,34,Yellow,Upright,0.80,30.00,46.90,60,90,55,90,80,110,485,80.83,18.80,75,1,70,218,Medium Fast,1000000,FALSE,Pikachu,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.500,Mouse ,Field,Fairy,10,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,2.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00
